Item_Store_ID,Item_Store_Returns
DRA59_BABATUNJI010,100
DRA59_BABATUNJI013,100
DRB01_BABATUNJI013,100
DRB13_BABATUNJI010,100
DRB13_BABATUNJI013,100
DRB25_BABATUNJI017,100
DRB25_BABATUNJI027,100
DRB25_BABATUNJI035,100
DRB48_BABATUNJI017,100
DRB48_BABATUNJI027,100
DRB48_BABATUNJI035,100
DRB48_BABATUNJI046,100
DRB48_BABATUNJI049,100
DRC01_BABATUNJI017,100
DRC01_BABATUNJI018,100
DRC01_BABATUNJI027,100
DRC01_BABATUNJI045,100
DRC01_BABATUNJI046,100
DRC13_BABATUNJI035,100
DRC13_BABATUNJI045,100
DRC25_BABATUNJI018,100
DRC25_BABATUNJI019,100
DRC25_BABATUNJI027,100
DRC25_BABATUNJI045,100
DRC25_BABATUNJI046,100
DRC27_BABATUNJI010,100
DRC27_BABATUNJI018,100
DRC27_BABATUNJI049,100
DRC36_BABATUNJI013,100
DRD01_BABATUNJI017,100
DRD01_BABATUNJI018,100
DRD01_BABATUNJI035,100
DRD01_BABATUNJI045,100
DRD01_BABATUNJI049,100
DRD12_BABATUNJI017,100
DRD12_BABATUNJI018,100
DRD12_BABATUNJI027,100
DRD12_BABATUNJI035,100
DRD12_BABATUNJI045,100
DRD12_BABATUNJI046,100
DRD13_BABATUNJI017,100
DRD13_BABATUNJI018,100
DRD13_BABATUNJI027,100
DRD13_BABATUNJI035,100
DRD13_BABATUNJI045,100
DRD13_BABATUNJI049,100
DRD15_BABATUNJI010,100
DRD15_BABATUNJI013,100
DRD15_BABATUNJI046,100
DRD15_BABATUNJI049,100
DRD24_BABATUNJI027,100
DRD25_BABATUNJI027,100
DRD25_BABATUNJI035,100
DRD25_BABATUNJI045,100
DRD27_BABATUNJI017,100
DRD27_BABATUNJI019,100
DRD27_BABATUNJI045,100
DRD37_BABATUNJI017,100
DRD37_BABATUNJI018,100
DRD37_BABATUNJI045,100
DRD37_BABATUNJI046,100
DRD37_BABATUNJI049,100
DRD49_BABATUNJI046,100
DRD60_BABATUNJI013,100
DRE01_BABATUNJI010,100
DRE01_BABATUNJI046,100
DRE03_BABATUNJI017,100
DRE03_BABATUNJI018,100
DRE03_BABATUNJI035,100
DRE03_BABATUNJI045,100
DRE03_BABATUNJI046,100
DRE03_BABATUNJI049,100
DRE12_BABATUNJI027,100
DRE12_BABATUNJI035,100
DRE12_BABATUNJI045,100
DRE13_BABATUNJI027,100
DRE13_BABATUNJI035,100
DRE13_BABATUNJI045,100
DRE13_BABATUNJI049,100
DRE15_BABATUNJI017,100
DRE15_BABATUNJI018,100
DRE15_BABATUNJI019,100
DRE15_BABATUNJI027,100
DRE15_BABATUNJI045,100
DRE15_BABATUNJI046,100
DRE25_BABATUNJI017,100
DRE25_BABATUNJI027,100
DRE25_BABATUNJI035,100
DRE27_BABATUNJI035,100
DRE27_BABATUNJI045,100
DRE48_BABATUNJI013,100
DRE48_BABATUNJI046,100
DRE60_BABATUNJI013,100
DRF03_BABATUNJI018,100
DRF03_BABATUNJI027,100
DRF03_BABATUNJI035,100
DRF03_BABATUNJI045,100
DRF03_BABATUNJI046,100
DRF03_BABATUNJI049,100
DRF25_BABATUNJI019,100
DRF25_BABATUNJI027,100
DRF25_BABATUNJI035,100
DRF25_BABATUNJI045,100
DRF25_BABATUNJI046,100
DRF25_BABATUNJI049,100
DRF36_BABATUNJI010,100
DRF37_BABATUNJI013,100
DRF37_BABATUNJI018,100
DRF37_BABATUNJI035,100
DRF37_BABATUNJI045,100
DRF49_BABATUNJI035,100
DRF49_BABATUNJI045,100
DRF51_BABATUNJI018,100
DRF51_BABATUNJI045,100
DRF51_BABATUNJI046,100
DRF60_BABATUNJI018,100
DRF60_BABATUNJI049,100
DRG01_BABATUNJI019,100
DRG01_BABATUNJI027,100
DRG01_BABATUNJI035,100
DRG01_BABATUNJI046,100
DRG11_BABATUNJI045,100
DRG15_BABATUNJI017,100
DRG15_BABATUNJI035,100
DRG15_BABATUNJI045,100
DRG15_BABATUNJI046,100
DRG15_BABATUNJI049,100
DRG25_BABATUNJI013,100
DRG27_BABATUNJI018,100
DRG27_BABATUNJI019,100
DRG27_BABATUNJI045,100
DRG27_BABATUNJI046,100
DRG27_BABATUNJI049,100
DRG36_BABATUNJI013,100
DRG39_BABATUNJI018,100
DRG39_BABATUNJI046,100
DRG39_BABATUNJI049,100
DRG49_BABATUNJI010,100
DRG49_BABATUNJI018,100
DRH03_BABATUNJI018,100
DRH03_BABATUNJI019,100
DRH03_BABATUNJI035,100
DRH11_BABATUNJI027,100
DRH11_BABATUNJI045,100
DRH11_BABATUNJI049,100
DRH13_BABATUNJI019,100
DRH13_BABATUNJI045,100
DRH15_BABATUNJI018,100
DRH15_BABATUNJI019,100
DRH15_BABATUNJI046,100
DRH23_BABATUNJI017,100
DRH23_BABATUNJI019,100
DRH23_BABATUNJI045,100
DRH23_BABATUNJI049,100
DRH25_BABATUNJI017,100
DRH25_BABATUNJI027,100
DRH25_BABATUNJI035,100
DRH25_BABATUNJI045,100
DRH36_BABATUNJI017,100
DRH36_BABATUNJI019,100
DRH36_BABATUNJI035,100
DRH36_BABATUNJI045,100
DRH36_BABATUNJI046,100
DRH39_BABATUNJI017,100
DRH39_BABATUNJI019,100
DRH39_BABATUNJI027,100
DRH39_BABATUNJI046,100
DRH39_BABATUNJI049,100
DRH49_BABATUNJI018,100
DRH49_BABATUNJI019,100
DRH49_BABATUNJI046,100
DRH51_BABATUNJI019,100
DRH51_BABATUNJI027,100
DRH51_BABATUNJI035,100
DRH51_BABATUNJI049,100
DRH59_BABATUNJI046,100
DRH59_BABATUNJI049,100
DRI01_BABATUNJI013,100
DRI03_BABATUNJI013,100
DRI11_BABATUNJI027,100
DRI11_BABATUNJI035,100
DRI11_BABATUNJI045,100
DRI13_BABATUNJI013,100
DRI13_BABATUNJI018,100
DRI13_BABATUNJI046,100
DRI25_BABATUNJI017,100
DRI25_BABATUNJI027,100
DRI25_BABATUNJI045,100
DRI25_BABATUNJI046,100
DRI25_BABATUNJI049,100
DRI37_BABATUNJI017,100
DRI37_BABATUNJI018,100
DRI37_BABATUNJI027,100
DRI37_BABATUNJI046,100
DRI37_BABATUNJI049,100
DRI39_BABATUNJI017,100
DRI39_BABATUNJI018,100
DRI39_BABATUNJI027,100
DRI39_BABATUNJI035,100
DRI49_BABATUNJI018,100
DRI49_BABATUNJI035,100
DRI49_BABATUNJI045,100
DRI49_BABATUNJI046,100
DRJ11_BABATUNJI010,100
DRJ11_BABATUNJI013,100
DRJ23_BABATUNJI010,100
DRJ23_BABATUNJI013,100
DRJ24_BABATUNJI010,100
DRJ24_BABATUNJI013,100
DRJ25_BABATUNJI017,100
DRJ25_BABATUNJI018,100
DRJ25_BABATUNJI045,100
DRJ25_BABATUNJI049,100
DRJ35_BABATUNJI017,100
DRJ35_BABATUNJI046,100
DRJ39_BABATUNJI013,100
DRJ39_BABATUNJI018,100
DRJ39_BABATUNJI046,100
DRJ47_BABATUNJI013,100
DRJ49_BABATUNJI045,100
DRJ51_BABATUNJI013,100
DRJ51_BABATUNJI049,100
DRJ59_BABATUNJI027,100
DRJ59_BABATUNJI045,100
DRJ59_BABATUNJI046,100
DRJ59_BABATUNJI049,100
DRK01_BABATUNJI017,100
DRK01_BABATUNJI018,100
DRK01_BABATUNJI035,100
DRK01_BABATUNJI045,100
DRK12_BABATUNJI017,100
DRK12_BABATUNJI018,100
DRK12_BABATUNJI027,100
DRK12_BABATUNJI035,100
DRK12_BABATUNJI045,100
DRK12_BABATUNJI049,100
DRK13_BABATUNJI013,100
DRK13_BABATUNJI046,100
DRK23_BABATUNJI013,100
DRK23_BABATUNJI018,100
DRK23_BABATUNJI049,100
DRK35_BABATUNJI017,100
DRK35_BABATUNJI019,100
DRK35_BABATUNJI027,100
DRK35_BABATUNJI035,100
DRK35_BABATUNJI045,100
DRK35_BABATUNJI046,100
DRK35_BABATUNJI049,100
DRK37_BABATUNJI010,100
DRK39_BABATUNJI017,100
DRK39_BABATUNJI027,100
DRK39_BABATUNJI046,100
DRK39_BABATUNJI049,100
DRK47_BABATUNJI013,100
DRK47_BABATUNJI018,100
DRK47_BABATUNJI046,100
DRK47_BABATUNJI049,100
DRK49_BABATUNJI017,100
DRK49_BABATUNJI019,100
DRK49_BABATUNJI027,100
DRK49_BABATUNJI035,100
DRK49_BABATUNJI046,100
DRK49_BABATUNJI049,100
DRK59_BABATUNJI010,100
DRK59_BABATUNJI018,100
DRL01_BABATUNJI010,100
DRL01_BABATUNJI013,100
DRL01_BABATUNJI049,100
DRL23_BABATUNJI035,100
DRL23_BABATUNJI045,100
DRL35_BABATUNJI017,100
DRL35_BABATUNJI027,100
DRL35_BABATUNJI035,100
DRL35_BABATUNJI045,100
DRL35_BABATUNJI049,100
DRL37_BABATUNJI017,100
DRL37_BABATUNJI018,100
DRL37_BABATUNJI027,100
DRL37_BABATUNJI035,100
DRL37_BABATUNJI045,100
DRL37_BABATUNJI049,100
DRL47_BABATUNJI027,100
DRL47_BABATUNJI045,100
DRL59_BABATUNJI019,100
DRL59_BABATUNJI035,100
DRM11_BABATUNJI013,100
DRM11_BABATUNJI018,100
DRM11_BABATUNJI046,100
DRM23_BABATUNJI013,100
DRM37_BABATUNJI010,100
DRM37_BABATUNJI013,100
DRM47_BABATUNJI010,100
DRM48_BABATUNJI027,100
DRM48_BABATUNJI045,100
DRM48_BABATUNJI046,100
DRM48_BABATUNJI049,100
DRM49_BABATUNJI017,100
DRM49_BABATUNJI035,100
DRM49_BABATUNJI045,100
DRM49_BABATUNJI049,100
DRN35_BABATUNJI018,100
DRN35_BABATUNJI035,100
DRN35_BABATUNJI046,100
DRN35_BABATUNJI049,100
DRN36_BABATUNJI019,100
DRN36_BABATUNJI027,100
DRN36_BABATUNJI035,100
DRN36_BABATUNJI045,100
DRN37_BABATUNJI013,100
DRN47_BABATUNJI010,100
DRN47_BABATUNJI013,100
DRN59_BABATUNJI017,100
DRN59_BABATUNJI027,100
DRN59_BABATUNJI045,100
DRN59_BABATUNJI049,100
DRO35_BABATUNJI045,100
DRO47_BABATUNJI035,100
DRO59_BABATUNJI017,100
DRO59_BABATUNJI019,100
DRO59_BABATUNJI045,100
DRO59_BABATUNJI049,100
DRP35_BABATUNJI027,100
DRP35_BABATUNJI045,100
DRP47_BABATUNJI013,100
DRP47_BABATUNJI046,100
DRP47_BABATUNJI049,100
DRQ35_BABATUNJI027,100
DRQ35_BABATUNJI035,100
DRQ35_BABATUNJI045,100
DRY23_BABATUNJI017,100
DRY23_BABATUNJI019,100
DRY23_BABATUNJI027,100
DRY23_BABATUNJI035,100
DRY23_BABATUNJI046,100
DRY23_BABATUNJI049,100
DRZ11_BABATUNJI027,100
DRZ11_BABATUNJI045,100
DRZ24_BABATUNJI027,100
DRZ24_BABATUNJI045,100
FDA01_BABATUNJI017,100
FDA01_BABATUNJI018,100
FDA01_BABATUNJI027,100
FDA01_BABATUNJI035,100
FDA01_BABATUNJI045,100
FDA01_BABATUNJI046,100
FDA04_BABATUNJI013,100
FDA04_BABATUNJI018,100
FDA04_BABATUNJI035,100
FDA04_BABATUNJI046,100
FDA04_BABATUNJI049,100
FDA07_BABATUNJI027,100
FDA07_BABATUNJI035,100
FDA07_BABATUNJI045,100
FDA10_BABATUNJI027,100
FDA10_BABATUNJI035,100
FDA11_BABATUNJI017,100
FDA11_BABATUNJI018,100
FDA11_BABATUNJI027,100
FDA11_BABATUNJI045,100
FDA13_BABATUNJI017,100
FDA13_BABATUNJI018,100
FDA13_BABATUNJI019,100
FDA13_BABATUNJI027,100
FDA13_BABATUNJI035,100
FDA13_BABATUNJI045,100
FDA13_BABATUNJI049,100
FDA15_BABATUNJI010,100
FDA15_BABATUNJI013,100
FDA15_BABATUNJI018,100
FDA15_BABATUNJI049,100
FDA16_BABATUNJI018,100
FDA16_BABATUNJI046,100
FDA20_BABATUNJI013,100
FDA21_BABATUNJI013,100
FDA23_BABATUNJI017,100
FDA23_BABATUNJI027,100
FDA23_BABATUNJI035,100
FDA25_BABATUNJI017,100
FDA25_BABATUNJI018,100
FDA25_BABATUNJI035,100
FDA25_BABATUNJI045,100
FDA26_BABATUNJI013,100
FDA26_BABATUNJI018,100
FDA27_BABATUNJI018,100
FDA27_BABATUNJI046,100
FDA27_BABATUNJI049,100
FDA28_BABATUNJI027,100
FDA32_BABATUNJI010,100
FDA32_BABATUNJI018,100
FDA32_BABATUNJI046,100
FDA34_BABATUNJI013,100
FDA35_BABATUNJI027,100
FDA36_BABATUNJI013,100
FDA37_BABATUNJI035,100
FDA38_BABATUNJI013,100
FDA38_BABATUNJI018,100
FDA38_BABATUNJI049,100
FDA39_BABATUNJI017,100
FDA39_BABATUNJI018,100
FDA39_BABATUNJI027,100
FDA39_BABATUNJI035,100
FDA39_BABATUNJI046,100
FDA39_BABATUNJI049,100
FDA40_BABATUNJI017,100
FDA40_BABATUNJI035,100
FDA40_BABATUNJI046,100
FDA40_BABATUNJI049,100
FDA43_BABATUNJI010,100
FDA43_BABATUNJI013,100
FDA44_BABATUNJI017,100
FDA44_BABATUNJI018,100
FDA44_BABATUNJI027,100
FDA44_BABATUNJI035,100
FDA44_BABATUNJI045,100
FDA44_BABATUNJI049,100
FDA45_BABATUNJI013,100
FDA46_BABATUNJI013,100
FDA48_BABATUNJI046,100
FDA49_BABATUNJI019,100
FDA49_BABATUNJI027,100
FDA49_BABATUNJI035,100
FDA49_BABATUNJI046,100
FDA49_BABATUNJI049,100
FDA50_BABATUNJI017,100
FDA50_BABATUNJI019,100
FDA50_BABATUNJI027,100
FDA50_BABATUNJI035,100
FDA51_BABATUNJI027,100
FDA52_BABATUNJI013,100
FDA55_BABATUNJI013,100
FDA55_BABATUNJI018,100
FDA56_BABATUNJI027,100
FDA56_BABATUNJI045,100
FDA57_BABATUNJI027,100
FDA57_BABATUNJI045,100
FDA58_BABATUNJI013,100
FDA58_BABATUNJI046,100
FDB02_BABATUNJI013,100
FDB03_BABATUNJI013,100
FDB03_BABATUNJI018,100
FDB03_BABATUNJI046,100
FDB03_BABATUNJI049,100
FDB04_BABATUNJI017,100
FDB04_BABATUNJI019,100
FDB04_BABATUNJI027,100
FDB04_BABATUNJI035,100
FDB04_BABATUNJI045,100
FDB04_BABATUNJI046,100
FDB05_BABATUNJI046,100
FDB05_BABATUNJI049,100
FDB10_BABATUNJI018,100
FDB10_BABATUNJI049,100
FDB11_BABATUNJI013,100
FDB12_BABATUNJI035,100
FDB14_BABATUNJI018,100
FDB14_BABATUNJI019,100
FDB14_BABATUNJI027,100
FDB14_BABATUNJI035,100
FDB14_BABATUNJI045,100
FDB15_BABATUNJI010,100
FDB15_BABATUNJI013,100
FDB15_BABATUNJI018,100
FDB15_BABATUNJI035,100
FDB15_BABATUNJI046,100
FDB15_BABATUNJI049,100
FDB16_BABATUNJI035,100
FDB16_BABATUNJI045,100
FDB16_BABATUNJI046,100
FDB16_BABATUNJI049,100
FDB17_BABATUNJI010,100
FDB17_BABATUNJI013,100
FDB20_BABATUNJI017,100
FDB20_BABATUNJI035,100
FDB20_BABATUNJI045,100
FDB20_BABATUNJI049,100
FDB21_BABATUNJI018,100
FDB23_BABATUNJI013,100
FDB23_BABATUNJI018,100
FDB26_BABATUNJI017,100
FDB26_BABATUNJI027,100
FDB26_BABATUNJI035,100
FDB26_BABATUNJI045,100
FDB26_BABATUNJI046,100
FDB27_BABATUNJI010,100
FDB27_BABATUNJI046,100
FDB28_BABATUNJI010,100
FDB28_BABATUNJI013,100
FDB29_BABATUNJI035,100
FDB29_BABATUNJI045,100
FDB32_BABATUNJI017,100
FDB32_BABATUNJI018,100
FDB32_BABATUNJI019,100
FDB32_BABATUNJI027,100
FDB32_BABATUNJI035,100
FDB34_BABATUNJI017,100
FDB34_BABATUNJI018,100
FDB34_BABATUNJI027,100
FDB34_BABATUNJI035,100
FDB34_BABATUNJI045,100
FDB34_BABATUNJI049,100
FDB35_BABATUNJI017,100
FDB35_BABATUNJI018,100
FDB35_BABATUNJI019,100
FDB35_BABATUNJI045,100
FDB35_BABATUNJI046,100
FDB36_BABATUNJI027,100
FDB37_BABATUNJI013,100
FDB37_BABATUNJI046,100
FDB37_BABATUNJI049,100
FDB39_BABATUNJI017,100
FDB39_BABATUNJI019,100
FDB39_BABATUNJI035,100
FDB39_BABATUNJI045,100
FDB39_BABATUNJI049,100
FDB41_BABATUNJI018,100
FDB41_BABATUNJI019,100
FDB41_BABATUNJI035,100
FDB41_BABATUNJI045,100
FDB41_BABATUNJI046,100
FDB44_BABATUNJI013,100
FDB44_BABATUNJI046,100
FDB45_BABATUNJI019,100
FDB45_BABATUNJI045,100
FDB47_BABATUNJI013,100
FDB49_BABATUNJI018,100
FDB49_BABATUNJI019,100
FDB49_BABATUNJI045,100
FDB50_BABATUNJI017,100
FDB50_BABATUNJI018,100
FDB50_BABATUNJI045,100
FDB50_BABATUNJI046,100
FDB50_BABATUNJI049,100
FDB51_BABATUNJI017,100
FDB51_BABATUNJI018,100
FDB51_BABATUNJI035,100
FDB51_BABATUNJI045,100
FDB51_BABATUNJI046,100
FDB52_BABATUNJI013,100
FDB52_BABATUNJI018,100
FDB52_BABATUNJI049,100
FDB56_BABATUNJI013,100
FDB57_BABATUNJI013,100
FDB57_BABATUNJI046,100
FDB59_BABATUNJI046,100
FDB60_BABATUNJI010,100
FDB60_BABATUNJI013,100
FDC02_BABATUNJI010,100
FDC02_BABATUNJI013,100
FDC02_BABATUNJI018,100
FDC02_BABATUNJI046,100
FDC03_BABATUNJI013,100
FDC04_BABATUNJI018,100
FDC04_BABATUNJI049,100
FDC08_BABATUNJI010,100
FDC08_BABATUNJI013,100
FDC08_BABATUNJI046,100
FDC08_BABATUNJI049,100
FDC09_BABATUNJI018,100
FDC09_BABATUNJI045,100
FDC10_BABATUNJI027,100
FDC10_BABATUNJI035,100
FDC11_BABATUNJI018,100
FDC11_BABATUNJI027,100
FDC11_BABATUNJI046,100
FDC14_BABATUNJI017,100
FDC14_BABATUNJI018,100
FDC14_BABATUNJI019,100
FDC14_BABATUNJI027,100
FDC14_BABATUNJI046,100
FDC14_BABATUNJI049,100
FDC16_BABATUNJI017,100
FDC16_BABATUNJI018,100
FDC16_BABATUNJI027,100
FDC16_BABATUNJI035,100
FDC16_BABATUNJI045,100
FDC16_BABATUNJI046,100
FDC16_BABATUNJI049,100
FDC17_BABATUNJI013,100
FDC17_BABATUNJI046,100
FDC20_BABATUNJI017,100
FDC20_BABATUNJI018,100
FDC20_BABATUNJI019,100
FDC20_BABATUNJI035,100
FDC20_BABATUNJI045,100
FDC20_BABATUNJI046,100
FDC21_BABATUNJI017,100
FDC21_BABATUNJI019,100
FDC22_BABATUNJI013,100
FDC26_BABATUNJI035,100
FDC28_BABATUNJI017,100
FDC28_BABATUNJI019,100
FDC28_BABATUNJI027,100
FDC28_BABATUNJI045,100
FDC29_BABATUNJI027,100
FDC29_BABATUNJI035,100
FDC32_BABATUNJI019,100
FDC32_BABATUNJI027,100
FDC32_BABATUNJI035,100
FDC32_BABATUNJI045,100
FDC33_BABATUNJI013,100
FDC33_BABATUNJI046,100
FDC35_BABATUNJI010,100
FDC35_BABATUNJI013,100
FDC35_BABATUNJI046,100
FDC37_BABATUNJI019,100
FDC39_BABATUNJI013,100
FDC40_BABATUNJI017,100
FDC40_BABATUNJI018,100
FDC40_BABATUNJI035,100
FDC40_BABATUNJI049,100
FDC41_BABATUNJI017,100
FDC41_BABATUNJI019,100
FDC41_BABATUNJI027,100
FDC41_BABATUNJI046,100
FDC41_BABATUNJI049,100
FDC44_BABATUNJI027,100
FDC44_BABATUNJI045,100
FDC46_BABATUNJI010,100
FDC46_BABATUNJI013,100
FDC47_BABATUNJI010,100
FDC47_BABATUNJI013,100
FDC47_BABATUNJI018,100
FDC48_BABATUNJI017,100
FDC48_BABATUNJI019,100
FDC48_BABATUNJI035,100
FDC48_BABATUNJI046,100
FDC50_BABATUNJI017,100
FDC50_BABATUNJI018,100
FDC50_BABATUNJI027,100
FDC50_BABATUNJI035,100
FDC50_BABATUNJI045,100
FDC51_BABATUNJI035,100
FDC51_BABATUNJI045,100
FDC53_BABATUNJI018,100
FDC53_BABATUNJI027,100
FDC53_BABATUNJI035,100
FDC56_BABATUNJI035,100
FDC57_BABATUNJI013,100
FDC58_BABATUNJI017,100
FDC58_BABATUNJI018,100
FDC58_BABATUNJI027,100
FDC58_BABATUNJI035,100
FDC59_BABATUNJI017,100
FDC59_BABATUNJI018,100
FDC59_BABATUNJI027,100
FDC59_BABATUNJI035,100
FDC59_BABATUNJI045,100
FDC59_BABATUNJI049,100
FDC60_BABATUNJI017,100
FDC60_BABATUNJI019,100
FDC60_BABATUNJI046,100
FDD02_BABATUNJI045,100
FDD03_BABATUNJI013,100
FDD03_BABATUNJI018,100
FDD03_BABATUNJI046,100
FDD05_BABATUNJI027,100
FDD05_BABATUNJI045,100
FDD08_BABATUNJI017,100
FDD08_BABATUNJI018,100
FDD08_BABATUNJI027,100
FDD08_BABATUNJI035,100
FDD08_BABATUNJI049,100
FDD09_BABATUNJI013,100
FDD10_BABATUNJI010,100
FDD10_BABATUNJI013,100
FDD11_BABATUNJI013,100
FDD11_BABATUNJI018,100
FDD14_BABATUNJI013,100
FDD16_BABATUNJI019,100
FDD16_BABATUNJI035,100
FDD16_BABATUNJI046,100
FDD17_BABATUNJI010,100
FDD17_BABATUNJI013,100
FDD17_BABATUNJI046,100
FDD17_BABATUNJI049,100
FDD20_BABATUNJI027,100
FDD21_BABATUNJI035,100
FDD26_BABATUNJI010,100
FDD28_BABATUNJI017,100
FDD28_BABATUNJI027,100
FDD28_BABATUNJI046,100
FDD28_BABATUNJI049,100
FDD29_BABATUNJI010,100
FDD29_BABATUNJI013,100
FDD29_BABATUNJI018,100
FDD29_BABATUNJI046,100
FDD29_BABATUNJI049,100
FDD32_BABATUNJI017,100
FDD32_BABATUNJI018,100
FDD33_BABATUNJI013,100
FDD33_BABATUNJI018,100
FDD35_BABATUNJI027,100
FDD35_BABATUNJI035,100
FDD35_BABATUNJI045,100
FDD36_BABATUNJI027,100
FDD38_BABATUNJI017,100
FDD38_BABATUNJI019,100
FDD38_BABATUNJI027,100
FDD38_BABATUNJI035,100
FDD38_BABATUNJI045,100
FDD39_BABATUNJI013,100
FDD39_BABATUNJI018,100
FDD39_BABATUNJI046,100
FDD40_BABATUNJI013,100
FDD41_BABATUNJI017,100
